rcept_no,discloser,chaebol,industry,own_car,chaebol_peer_car,chaebol_peer_n,industry_peer_car,industry_peer_n,unrelated_car,unrelated_n,surprise_yoy
20230502800458,현대차,Hyundai,Auto,1.1115,1.9932315483167506,2,,0,-0.2911565788834137,26,
20230425800227,현대차,Hyundai,Auto,6.1084,-0.03246125508987263,2,,0,0.21970197746029244,26,86.3
20230403800496,현대차,Hyundai,Auto,-0.3053,-0.934397089097027,2,,0,0.18498330186696565,26,
20230302800589,현대차,Hyundai,Auto,0.6262,2.070240153622846,2,,0,-0.11905850772049886,26,
20230201800390,현대차,Hyundai,Auto,0.7771,0.4861953124214501,2,,0,-0.7027245149512983,26,
20230126800250,현대차,Hyundai,Auto,3.9019,1.0335075190894512,2,,0,-0.5121330515997452,26,119.6
20230103800439,현대차,Hyundai,Auto,1.5879,-0.8318789349973872,2,,0,0.6155771739763505,26,
20230103800432,현대차,Hyundai,Auto,1.5879,-0.8318789349973872,2,,0,0.6155771739763505,26,
20221201800281,현대차,Hyundai,Auto,1.1836,0.13173285245890864,2,,0,-0.0007065677520167094,26,
20221101800307,현대차,Hyundai,Auto,-1.8142,-1.9615247886449514,2,,0,-0.10006559555041997,26,
20221024800157,현대차,Hyundai,Auto,-4.3345,-3.3955036411690354,2,,0,-0.8325581482170387,26,-3.4
20221004800321,현대차,Hyundai,Auto,-0.8004,-0.3169197919670732,2,,0,-0.46020001393937887,26,
20220901800298,현대차,Hyundai,Auto,2.028,2.301376670904919,2,,0,-0.45364276279915433,26,
20220801800211,현대차,Hyundai,Auto,-0.0306,-0.06244946756462677,2,,0,-0.881066743403636,26,
20220721800150,현대차,Hyundai,Auto,-0.9347,-0.806595460007501,2,,0,-0.39490252989428143,26,58.0
20220701800322,현대차,Hyundai,Auto,0.8899,2.7890261979005526,2,,0,0.17521362783466277,26,
20220602800319,현대차,Hyundai,Auto,-0.0535,-1.5166826814792989,2,,0,0.013727008097540426,26,
20220502800371,현대차,Hyundai,Auto,0.8196,0.12140465155549218,2,,0,0.09983250488481002,26,
20220425800185,현대차,Hyundai,Auto,2.8703,1.7861583498727476,2,,0,-0.6231555949060058,26,16.4
20220401800562,현대차,Hyundai,Auto,-0.7396,-0.21176839301340977,2,,0,0.2136317747041591,26,
20220302800621,현대차,Hyundai,Auto,-2.7322,-1.1049756454206296,2,,0,-0.6617423815869079,26,
20220203800466,현대차,Hyundai,Auto,-0.6147,-4.379527053056376,2,,0,-0.7110115255524281,26,
20220125800285,현대차,Hyundai,Auto,1.2958,0.864803176053061,2,,0,0.7871864659750596,26,21.9
20220103800376,현대차,Hyundai,Auto,0.3285,1.7824736479380006,2,,0,1.536741979598276,26,
20220103800371,현대차,Hyundai,Auto,0.3285,1.7824736479380006,2,,0,1.536741979598276,26,
20211201800361,현대차,Hyundai,Auto,0.6749,3.0076950515465475,2,,0,0.6930326514502224,26,
20211101800311,현대차,Hyundai,Auto,-0.2781,-0.21785209810537154,2,,0,0.32096376647539915,26,
20211026800174,현대차,Hyundai,Auto,0.24,-0.028022105224480676,2,,0,-0.358212771063191,26,
20211001800286,현대차,Hyundai,Auto,-1.6324,1.085243091393262,2,,0,0.5930367565529411,26,
20210901800291,현대차,Hyundai,Auto,0.9342,-0.3921280952585495,2,,0,-0.23641869199713275,26,
20210802800232,현대차,Hyundai,Auto,0.2704,2.0108222826592717,2,,0,-0.4551025289753282,26,
20210722800187,현대차,Hyundai,Auto,-0.8473,-1.5097153310559013,2,,0,0.3472943302189396,26,219.5
20210701800258,현대차,Hyundai,Auto,1.4873,-0.7802982586421046,2,,0,-0.39895553094092473,26,
20210601800275,현대차,Hyundai,Auto,0.2908,-0.22503429867407715,2,,0,0.41151020178993736,26,
20210503800311,현대차,Hyundai,Auto,3.4865,3.75173705605058,2,,0,-0.11111711844526202,26,
20210422800201,현대차,Hyundai,Auto,0.037,-3.128690875119341,2,,0,1.0867925113321661,26,91.8
20210401800536,현대차,Hyundai,Auto,-0.3899,2.95055428134014,2,,0,-0.811651535600715,26,
20210302800414,현대차,Hyundai,Auto,-0.1824,-0.025209442288033346,2,,0,0.4175253635626973,26,
20210201800606,현대차,Hyundai,Auto,1.4497,2.6250286019135096,2,,0,-0.09678139131943439,26,
20210104800323,현대차,Hyundai,Auto,5.6027,3.913613453300189,2,,0,0.2080586845623714,26,
20210104800317,현대차,Hyundai,Auto,5.6027,3.913613453300189,2,,0,0.2080586845623714,26,
20201201800302,현대차,Hyundai,Auto,-0.554,-1.3852267149234159,2,,0,0.16160137803122593,26,
20201102800320,현대차,Hyundai,Auto,2.1914,-2.7533764688067985,2,,0,0.48778168983833486,26,
20201026800211,현대차,Hyundai,Auto,3.4105,10.590863621799594,2,,0,0.2601791905649027,26,
20201005800276,현대차,Hyundai,Auto,3.4685,3.072622859755655,2,,0,0.5012122355229351,26,
20200901800251,현대차,Hyundai,Auto,0.9779,0.6303073957279437,2,,0,-0.30976514949926354,26,
20200803800250,현대차,Hyundai,Auto,0.321,0.17611600432380783,2,,0,0.41105422185766677,26,
20200723800183,현대차,Hyundai,Auto,5.6228,1.0252921264002932,2,,0,-0.4188677191745248,26,-52.3
20200701800287,현대차,Hyundai,Auto,0.5891,-0.3974824501906951,2,,0,0.5783966824577254,26,
20200601800325,현대차,Hyundai,Auto,0.2927,4.487572296099479,2,,0,0.5262949202807694,26,
20200506800302,현대차,Hyundai,Auto,0.0963,-1.0836060697371723,2,,0,0.26465579688301727,26,
20200423800249,현대차,Hyundai,Auto,-1.1959,-2.9804870029249284,2,,0,0.1924762703952157,26,4.7
20200401800530,현대차,Hyundai,Auto,0.2223,0.5751373874295838,2,,0,-0.5483769992296494,26,
20200302800504,현대차,Hyundai,Auto,-2.0844,-4.537464839854593,2,,0,-0.7220452808482608,26,
20200203800550,현대차,Hyundai,Auto,-1.1939,-2.629906957536904,2,,0,-0.14354695205628407,26,
20200122800230,현대차,Hyundai,Auto,7.3165,4.054347590154553,2,,0,-0.5687785177577418,26,148.2
20200102800319,현대차,Hyundai,Auto,-1.0509,-2.802700486174251,2,,0,-0.35537922895555546,26,
20200102800314,현대차,Hyundai,Auto,-1.0509,-2.802700486174251,2,,0,-0.35537922895555546,26,
20260206800015,네이버,,Internet/Platform,-1.6714,,0,-3.8069593950676826,1,-0.26666939480900437,27,-18.3
20260206800014,네이버,,Internet/Platform,-1.6714,,0,-3.8069593950676826,1,-0.26666939480900437,27,12.7
20251105800027,네이버,,Internet/Platform,7.1535,,0,-3.1398189582257303,1,1.8674968957368392,27,14.3
20251105800024,네이버,,Internet/Platform,7.1535,,0,-3.1398189582257303,1,1.8674968957368392,27,8.6
20250808800018,네이버,,Internet/Platform,-2.0003,,0,1.5912272552726092,1,0.2770990463676282,27,-1.4
20250808800015,네이버,,Internet/Platform,-2.0003,,0,1.5912272552726092,1,0.2770990463676282,27,10.3
20250509800010,네이버,,Internet/Platform,1.3045,,0,1.893294205658446,1,0.05610830219449553,27,18.9
20250509800009,네이버,,Internet/Platform,1.3045,,0,1.893294205658446,1,0.05610830219449553,27,15.0
20250207800004,네이버,,Internet/Platform,-2.2171,,0,-5.570786597951069,1,-0.8126010554005897,27,19.8
20250207800003,네이버,,Internet/Platform,-2.2171,,0,-5.570786597951069,1,-0.8126010554005897,27,33.7
20241108800002,네이버,,Internet/Platform,-2.7024,,0,-6.511973144135477,1,-0.03602095004324205,27,5.4
20241108800001,네이버,,Internet/Platform,-2.7024,,0,-6.511973144135477,1,-0.03602095004324205,27,38.2
20240809800002,네이버,,Internet/Platform,-0.6252,,0,-5.919210173766958,1,-0.949537361665241,27,15.0
20240809800001,네이버,,Internet/Platform,-0.6252,,0,-5.919210173766958,1,-0.949537361665241,27,26.8
20240503800003,네이버,,Internet/Platform,3.3336,,0,1.0089523446911188,1,-0.5285407793936558,27,4.0
20240503800001,네이버,,Internet/Platform,3.3336,,0,1.0089523446911188,1,-0.5285407793936558,27,32.9
20240202800002,네이버,,Internet/Platform,6.5174,,0,2.4429550107034452,1,0.5844484097774084,27,20.5
20240202800003,네이버,,Internet/Platform,6.5174,,0,2.4429550107034452,1,0.5844484097774084,27,17.9
20231103800003,네이버,,Internet/Platform,4.0075,,0,9.156814168775432,1,-0.677851132221712,27,6.2
20231103800002,네이버,,Internet/Platform,4.0075,,0,9.156814168775432,1,-0.677851132221712,27,15.1
20230804800002,네이버,,Internet/Platform,0.3236,,0,-0.17843913759058946,1,0.8230628159035956,27,9.1
20230804800001,네이버,,Internet/Platform,0.3236,,0,-0.17843913759058946,1,0.8230628159035956,27,10.9
20230508800004,네이버,,Internet/Platform,5.0678,,0,0.15980794343909777,1,0.6834322988680716,27,8.4
20230508800003,네이버,,Internet/Platform,5.0678,,0,0.15980794343909777,1,0.6834322988680716,27,9.5
20230203800004,네이버,,Internet/Platform,5.2071,,0,2.3283427859840207,1,-0.023775266720319238,27,-8.4
20230203800003,네이버,,Internet/Platform,5.2071,,0,2.3283427859840207,1,-0.023775266720319238,27,-4.2
20221107800002,네이버,,Internet/Platform,-3.8683,,0,0.23062446514510831,1,-0.006478361093343737,27,5.9
20221107800001,네이버,,Internet/Platform,-3.8683,,0,0.23062446514510831,1,-0.006478361093343737,27,-5.6
20220805800009,네이버,,Internet/Platform,-3.0919,,0,-0.44109651797085636,1,0.3807029698276707,27,4.5
20220805800003,네이버,,Internet/Platform,-3.0919,,0,-0.44109651797085636,1,0.3807029698276707,27,0.2
20220421800002,네이버,,Internet/Platform,-2.2519,,0,-2.7455090660828865,1,0.890394958713734,27,-3.1
20220421800001,네이버,,Internet/Platform,-2.2519,,0,-2.7455090660828865,1,0.890394958713734,27,4.5
20220127800005,네이버,,Internet/Platform,0.3024,,0,-0.4922227081711538,1,1.1041014528990067,27,5.7
20211021800002,네이버,,Internet/Platform,0.9287,,0,-0.159305044531664,1,0.17719190920379127,27,19.9
20211021800001,네이버,,Internet/Platform,0.9287,,0,-0.159305044531664,1,0.17719190920379127,27,8.6
20210722800004,네이버,,Internet/Platform,1.7372,,0,1.9059641790402906,1,-0.09628555996458744,27,8.9
20210722800002,네이버,,Internet/Platform,1.7372,,0,1.9059641790402906,1,-0.09628555996458744,27,4.7
20210429800007,네이버,,Internet/Platform,-1.6416,,0,-3.964494900381216,1,-0.06666079793897799,27,-1.0
20210429800005,네이버,,Internet/Platform,-1.6416,,0,-3.964494900381216,1,-0.06666079793897799,27,14.3
20210128800004,네이버,,Internet/Platform,5.6668,,0,-0.47422732164313364,1,-0.18676205376682178,27,5.9
20210128800003,네이버,,Internet/Platform,5.6668,,0,-0.47422732164313364,1,-0.18676205376682178,27,17.6
20201029800019,네이버,,Internet/Platform,0.7927,,0,-1.4316265001486341,1,-0.7275234897757754,27,1.8
20201029800021,네이버,,Internet/Platform,0.7927,,0,-1.4316265001486341,1,-0.7275234897757754,27,8.8
20200730800022,네이버,,Internet/Platform,0.5148,,0,4.2298579307619715,1,-0.263792634901117,27,3.8
20200730800021,네이버,,Internet/Platform,0.5148,,0,4.2298579307619715,1,-0.263792634901117,27,79.7
20200423800039,네이버,,Internet/Platform,3.4157,,0,3.7684352575376208,1,-0.4886681859118985,27,-4.5
20200423800033,네이버,,Internet/Platform,3.4157,,0,3.7684352575376208,1,-0.4886681859118985,27,7.4
20200130800011,네이버,,Internet/Platform,1.706,,0,0.2778943501975877,1,0.6592657657369985,27,4.8
20200130800010,네이버,,Internet/Platform,1.706,,0,0.2778943501975877,1,0.6592657657369985,27,-18.7
20260212800074,카카오,,Internet/Platform,-3.3032,,0,-4.790189246513026,1,-1.9682763025803,27,
20260212800070,카카오,,Internet/Platform,-3.3032,,0,-4.790189246513026,1,-1.9682763025803,27,
20260212800004,카카오,,Internet/Platform,-3.3032,,0,-4.790189246513026,1,-1.9682763025803,27,169.7
20260212800005,카카오,,Internet/Platform,-3.3032,,0,-4.790189246513026,1,-1.9682763025803,27,4.4
20251107800015,카카오,,Internet/Platform,5.2649,,0,-2.6772183390265276,1,-0.26449224338082544,27,-1.1
20251107800014,카카오,,Internet/Platform,5.2649,,0,-2.6772183390265276,1,-0.26449224338082544,27,59.4
20250807800006,카카오,,Internet/Platform,11.0482,,0,0.06647985196543901,1,-0.5446388601639421,27,-17.0
20250807800005,카카오,,Internet/Platform,11.0482,,0,0.06647985196543901,1,-0.5446388601639421,27,38.8
20250508800016,카카오,,Internet/Platform,-3.7409,,0,-4.203126352736338,1,-0.7309172210417769,27,-24.5
20250508800012,카카오,,Internet/Platform,-3.7409,,0,-4.203126352736338,1,-0.7309172210417769,27,-12.4
20241107800006,카카오,,Internet/Platform,-0.0437,,0,-0.8721999911765081,1,-0.7933211502018471,27,-15.0
20241107800004,카카오,,Internet/Platform,-0.0437,,0,-0.8721999911765081,1,-0.7933211502018471,27,5.0
20240808800005,카카오,,Internet/Platform,0.8464,,0,-0.16484320453925014,1,-0.6574395067880728,27,11.1
20240808800003,카카오,,Internet/Platform,0.8464,,0,-0.16484320453925014,1,-0.6574395067880728,27,18.5
20240509800076,카카오,,Internet/Platform,-1.2107,,0,-0.5702164208486089,1,0.6536530233459885,27,
20240509800024,카카오,,Internet/Platform,-1.2107,,0,-0.5702164208486089,1,0.6536530233459885,27,13.8
20240509800022,카카오,,Internet/Platform,-1.2107,,0,-0.5702164208486089,1,0.6536530233459885,27,92.2
20240215800005,카카오,,Internet/Platform,8.085,,0,0.15305849680496403,1,1.0993553543607264,27,
20240215800006,카카오,,Internet/Platform,8.085,,0,0.15305849680496403,1,1.0993553543607264,27,
20231109800031,카카오,,Internet/Platform,3.5288,,0,-0.8738884509846525,1,0.24909081850886383,27,12.1
20231109800030,카카오,,Internet/Platform,3.5288,,0,-0.8738884509846525,1,0.24909081850886383,27,-6.7
20230803800006,카카오,,Internet/Platform,0.6114,,0,-1.2357850884514119,1,0.31974034099316306,27,-14.5
20230803800005,카카오,,Internet/Platform,0.6114,,0,-1.2357850884514119,1,0.31974034099316306,27,-33.7
20230504800023,카카오,,Internet/Platform,-1.8684,,0,7.004497549086164,1,0.27063106603103504,27,5.1
20230504800019,카카오,,Internet/Platform,-1.8684,,0,7.004497549086164,1,0.27063106603103504,27,-55.2
20230210800005,카카오,,Internet/Platform,-4.1793,,0,-1.882090557665825,1,1.0443664008029157,27,29.4
20230210800003,카카오,,Internet/Platform,-4.1793,,0,-1.882090557665825,1,1.0443664008029157,27,-5.8
20221103800007,카카오,,Internet/Platform,-3.877,,0,-0.49467081495473175,1,-0.022213694908787794,27,25.2
20221103800006,카카오,,Internet/Platform,-3.877,,0,-0.49467081495473175,1,-0.022213694908787794,27,-10.6
20220804800006,카카오,,Internet/Platform,7.0263,,0,-1.9358850162666623,1,-0.08848361318279796,27,40.8
20220804800005,카카오,,Internet/Platform,7.0263,,0,-1.9358850162666623,1,-0.08848361318279796,27,5.2
20220504800040,카카오,,Internet/Platform,0.6728,,0,-2.204913386279581,1,1.2349376758370452,27,60.4
20220504800022,카카오,,Internet/Platform,0.6728,,0,-2.204913386279581,1,1.2349376758370452,27,0.7
20220211800008,카카오,,Internet/Platform,5.9139,,0,-0.4324407600007515,1,0.2998413880530235,27,23.5
20220211800007,카카오,,Internet/Platform,5.9139,,0,-0.4324407600007515,1,0.2998413880530235,27,-27.5
